Company,recom,pros,cons,sector
Deloitte,1,"Flexible work culture, good pay, decent colleagues",Workloads are irregular during the year,Consulting
Deloitte,1,Learning opportunities  Mentoring Flexibility in the summer and place of work,Long hours Long busy season in tax Stressful at times,Consulting
Deloitte,1,"Good culture, medical, bonus, overtime and work from home, flexible hours","long hours, workload, low pay raise",Consulting
Deloitte,1,"Flexible, support, challenging, people oriented","Human resource deployment, scheduling, feedback",Consulting
Deloitte,1,"learning, contacts, colleagues, opportunities, credibility","worklife balance, salary per hour",Consulting
Deloitte,1,"Flexibility Smart work  Office space  Team diversity (personality, skills, etc.)",Hours can be long and bleed into weekends,Consulting
Deloitte,0,Learning &amp; development opportunities  Brand recognition,No work life balance  Office politics,Consulting
Deloitte,1,"Relatively high autonomy, great work culture (for the most part), exciting work opportunities, cellphones are paid for, lots of training and development","There is some culture disparity across the firm, pay is lacking for the work required, lots of turnover, can get pigeonholed in a group you're not fond of",Consulting
Deloitte,1,"Colleagues,  social events and variety of projects","Big political game, considerable amount of overtime, lots of internal processes",Consulting
Deloitte,NA,"Beautiful office, flexibility of working at home, great benefits","Very silo-ed approach to what areas you could work in, salary is not as competitive as it is at other places, a lot of turnover",Consulting
Deloitte,0,A good chance for a junior to get valuable experience Beautiful building You can get interesting training,The average Deloitte employee works there 12-24 months The burnout rate is extremely high Most developers work more than 40hrs Salary for juniors is low. They often leave for significant increases Senior developers are swapped out for junior developers to save money regularly. Managers are taught to do this for cost savings.,Consulting
Deloitte,1,"Quick career advancement, smart people, varied projects","poor bonus, pay is lower vs industry, travel",Consulting
Deloitte,1,Great company to explore the current technologies and build skills,Travelling is required a lot. Projects can be hectic and demand long working hours. No overtime is paid,Consulting
Deloitte,1,Solid leadership team Great culture Interesting projects Lots of opportunities to learn,Pay is relatively low for the amount of work,Consulting
Deloitte,1,"Amazing team, super nice supervisor, welcoming environment",There are no cons for this position,Consulting
Deloitte,1,"we have to on our toes, and keep updating to keep your position all the time. ' work balance",hard to switch to another department.,Consulting
Deloitte,NA,Learning opportunity was great to newbies,"Work-life balance, pressure workload and high travelling time",Consulting
Deloitte,NA,"Work place flexibility, agile working environment, good benefits and pension program","Executive Assistants are not given a clear career path, career coaching, compensation increases or bonuses. Compensation increases are below the cost of living increases for 2019 at 2.2%. Assistants are told to be happy with 0-2% annual raises due to lack of budget. Some Partners and Directors treat the Assistants with no respect, expect you to be on call 24 hours a day, are demeaning and rude. Assistants receive no support from Managers or Supervisors to solve this program and are denied reallocation of administrative support regardless of the toxic working environment leading to multiple admins taking short term stress leave. This impacts other admins on the team having to take on more work with no compensation.",Consulting
Deloitte,1,"Great people, challenging and inspiring work environment",Rigid performance metrics limiting career potential,Consulting
Deloitte,0,Great environment Good looking office (lots of light) Good insurances,Work-life balance Salary is not competitive,Consulting
Deloitte,NA,"Great opportunities, type A employer. Very friendly co-workers.","Not specific to Deloitte, but I feel like small fish in big pond in Consulting.",Consulting
Deloitte,1,The flexibility provided is a great asset,nothing to say at this time,Consulting
Deloitte,NA,"Fun place to work, great learning office and Partner group.",Pay is very low and workload expectations can be unreasonable at times.,Consulting
Deloitte,0,"Contacts, methodology, notoriety, experience, training","Work life balance, long hours",Consulting
Deloitte,1,Good deal experience and exposure to leadership.,Pay won't even be close to match your industry standard.,Consulting
Deloitte,0,"Good Culture, Brand recognition,","Nothing I know, Less benefits",Consulting
Deloitte,0,Great network development and professional credibility. Some good people. Lots of opportunities to work in different areas and geographies.,"National team approach means you rarely work with the same people twice. Ultimately, a pyramid scheme where the partners are at the top. An environment where it’s easy to get burnt out if you don’t push back.",Consulting
Deloitte,0,You get what you expect,It's hard to grow your career,Consulting
Deloitte,1,Lots of interesting work and people,More like a startup and still have a lot to figure out,Consulting
Deloitte,NA,Opportunity  for Career progression and a good company on resume.  Learning Growth Opportunities,Pigeonholed the employee Must work their way,Consulting
Deloitte,0,Lots of travelling opportunities,"No worklife balance, was told to cancel vacation plans mutliple times Compensation is not comparable to competitors",Consulting
Deloitte,0,People  Office space  Opportunity for training,Low compensation  Long hours Culture,Consulting
Deloitte,1,"- An excellent welcoming environment, the best place to start a career  - you will be working among the seniors who have the years and years of experience with flexible hours - even co-op students get a day off, vacation pay, benefits. They are truly kind. - sometimes you will enjoy the free meals, forever free coffees and teas and discounted price in the Bistro. - Amazing and well-maintained workspace, beautiful view of downtown If you are in BAE Location - you will have the Opportunity to learn and grow - you will thank god (I always did when I was in the office) for such a dreamy and desirable facilities at work","- Sometimes there is not a lot of work to do or to be a help for the team as they all are working super hard in the real projects where interns can't help much - If you are an intern for short term i.e. 4 months, you may feel sad because time will fly and you will be gone from this workspace - Like any other company, Deloitte doesn't guarantee any full-time employment after an internship. It all depends on the vacancy at that time.  Which is quite obvious and understandable.  They also say that they will consider you first for future opportunities (if there will be any) which is not that bad.",Consulting
Deloitte,NA,"Work life balance is good, Great colleagues",Nothing that I can think of,Consulting
Deloitte,1,"working with smart people, modern work environment, prestigious","long work hours are an expectation during and outside of busy season, depending on client you work on",Consulting
Deloitte,1,"good pay, flexible accommodating, good leadership","long hours, will take advantage of you, race to get to the top.",Consulting
Deloitte,1,"Lot’s of opportunities to learn, to grow and to network!! Very friendly and supportive culture.",Lots of late hours and sometimes weekend work too,Consulting
Deloitte,1,Great people who care about their work,Open office space can get crowded,Consulting
Deloitte,1,"Culture, work environnent, flexibility, opportunities, international network","Big structure with a lot of internal politic, workload, pressure",Consulting
Deloitte,1,Good environment with seasoned professionals,"Everyone is a one-man business, you've got to be focused. You build your career, Deloitte doesn't build it for you.",Consulting
Deloitte,NA,Many opportunities to move laterally within firm,Onshore AP has overall low morale.,Consulting
Deloitte,1,You get to work with a bunch of smart and enthusiastic people in the industry,Low pay and sometimes long hours,Consulting
Deloitte,1,Culture is good and variability of work is also good,Pay is less and experienced hired less gowth option,Consulting
Deloitte,1,It is a great place to work.,None that I can think of.,Consulting
Deloitte,NA,"Great learning opportunities, lots of challenging work","Highly demanding, unpaid overtime, unrealistic expectations",Consulting
Deloitte,NA,Interesting Projects and a lot of opportunities,"Some medical bonuses are not as good as they can, but looking forward for the promised changes...",Consulting
Deloitte,1,The network at deloitte is phenomenal,Lack of work life balance,Consulting
Deloitte,1,"The team is amazing Work provided is definitely useful and amazing  Projects range from Blockchain, Embedded, ML, AI to Mobile and Web Development",Compensation for the role is comparatively less. But the work culture makes up for this.,Consulting
Deloitte,1,"Great people. Good benefits. Lots of opportunity to grow within the fir,m.",Busy season is pretty hectic.,Consulting
Deloitte,1,"Working with big clients, and doing critical work for the biggest companies in the world.","Lack of space! The firm is growing very fast and there’s very little space in the London office, especially after the recent acquisition of Monitor.",Consulting
Deloitte,NA,"- Great team environment and Supportive leadership - flexible and agile workspace (ability to work from home based on client needs) - Great place to learn, develop, network",- work life balance - projects Can be hit or miss  - hard to move across teams,Consulting
Deloitte,1,"Deloitte spares no expense for their employees. Compensation is competitive, and treat interns with respect. There are several opportunities for growth including through Deloitte University.",- Inability for interns to choose what projects / clients to work on / with. - work-life balance is difficult,Consulting
Deloitte,NA,"Interesting clients, Interesting work, Decent employer",Can be bad if you work for the wrong manager/partner,Consulting
Deloitte,NA,Deloitte is a really good school to learn,The career plan is too long,Consulting
Deloitte,1,Location Healthy work environment  Support from large pool of professional,Salary  Work load and not covered overtime,Consulting
Deloitte,1,Amazing work environment. Tackle truly challenging client problems. Amazing global network.,Often comes with periods of high demand,Consulting
Deloitte,NA,- room for growth - Great coworkers - smart people all around - opportunities to learn - competitive salary,"- long hours sometimes (not as bad as you read some places online, just during crunch time during projects) - sometimes Can be difficult to find time to Do work outside of project work when you are full time on a project.",Consulting
Deloitte,1,Tons of opportunity if you’re willing to put in hours,Way too many hours and travel,Consulting
Deloitte,1,- Great working environment - Great support from managers,- Contributions didn't feel extremely meaningful (could be a result of my specific department),Consulting
Deloitte,1,Flexibility with lots of growth,Demanding at certain times of the year,Consulting
Deloitte,NA,great passionate people.  They are all smart and know what they are doing.,Bad management. Too many managers are in one projects and feedback is not align.,Consulting
Deloitte,NA,I didn’t find anything good in this company,"IT management is bad, salary is less",Consulting
Deloitte,1,Different type of projects and clients,Excessive amount of work,Consulting
Deloitte,1,"Bright colleagues, exposure to different companies through projects","Sales driven, long hours, hit or miss how good your Partner/Manager may be",Consulting
Deloitte,1,"Team Culture, Nurturing individual talents",Too much work load. Missing work-life balance,Consulting
Deloitte,1,Agile work environment is very conducive to working parents,none that I can think of,Consulting
Deloitte,1,"- Good company culture - Flexibility (you Can work anywhere you want, how Do you want, when Do you want) - Great people  - Diversity and Inclusive - focus on continuous improvement",- salary is below average for Junior to Senior level position  - long working hours - Unnecessary pressure time to time,Consulting
Deloitte,1,"If you network properly, you can explore many different types of projects and work with a variety of clients.","Low pay and lots of time invested into creating material (slide decks, reports) that ultimately generate no value",Consulting
Deloitte,1,"Groundbreaking work in some cases. Opportunity to stretch your skills.   They will make you better at your job.   Fair pay, good benefits.","If you can't set your own boundaries, and you demonstrate that you are good at your job, you will become overloaded.  The people that do best at Deloitte are able to build solid relationships and leverage those to manage their workload for both interest (so they keep building new skills) and a reasonable volume.  These things require that you have the foresight to see a few steps ahead and steer your career accordingly.   I did great things there and learned a lot.  But because I didn't have those skills at the time, it cost me dearly in my personal life.",Consulting
Deloitte,0,Exposure to large projects. Networking opportunities and training provided.,"Complete disregard of employee mental health. Very little accommodations for matching employees skills to tasks/projects. Rampant harassment, sexism and racism within teams.",Consulting
Deloitte,1,"Great firm to meet new people in terms of colleagues and clients, continuous learning.","A lot of travel, work life balance doesn't exist.",Consulting
Deloitte,NA,Peers at your level are supportive and its nice sharing success together,compensation doesn't justify the hours and stress,Consulting
Deloitte,1,Work stability  Good  management  Big clients,Hard workers would be disappointed,Consulting
Deloitte,1,There was always an interest project to work on. People are very nice. The office had a very modern feel to it.,Not all projects that you are staffed on is interesting. Going to client office is not great and can be time consuming.,Consulting
Deloitte,0,- Good work life balance,- More about billing clients than actually doing Good work,Consulting
Deloitte,NA,Good working env and good people,None everyone is so good,Consulting
Deloitte,1,Excellent learning curve. Nice manager and colleagues,"Excessive, unpaid hours in busy season.",Consulting
Deloitte,0,-exposure in front of client VPs and Directors -can fast track you to 6 figures or high level roles,"-lots of grunt work -Very political environment, not based on merit",Consulting
Deloitte,1,Respect for people at all times,Need to change with times,Consulting
Deloitte,0,1) You gain plenty of experience in accounting.  2) They paid for your CPA.  3) You get to meet great people. 4) Offer support to complete your CPA.,1) Pay and benefits is not that high 2) Some engagements are really bad and you might be stuck on them for a while 3) Work-life balance is bad - you are overworked most of the time  4) Some seniors are terrible to work with,Consulting
Deloitte,1,"Lots of young and competent people, flexible work times, work from home.","Audit and tax work 50 hours week. Management only cares about business, not employees.",Consulting
Deloitte,0,The technology at the firm was first rate. Deloitte University is amazing to visit.,Development points and mentoring are lacking.,Consulting
Deloitte,1,"Great support from mentors, feels like people truly wants to see you succeed. Experience depends solely on the team you’re on.","Low work life balance, often see people staying late at night",Consulting
Deloitte,1,Flexible schedule  Great corporate culture  Lots of different projects  Large pool of expertise if you need help,Busy season is very busy  Salaries not that competitive,Consulting
Deloitte,1,A variety of clients and challenging projects help employees to grow quickly without ever becoming bored,Be prepared to work weekends and the odd 16-18 hour days,Consulting
Deloitte,0,"- work/life balance, the ability to work remotely and flexible when needed.","- Seniors and managers will give you positive reviews to your face but talk and put you down behind your back. Very few if any at all that will tell you the truth.  - They will tell you there is room to try new projects but these are just empty promises. They want you to do the same thing while you are there or would rather you leave.  - Pay less then any other firms and work more. Look at working at any other firm then this one.  - The juniors will take all the critism  from seniors and you are not allowed to see what they say. Again back to the two face attitude. As juniors you can not review seniors and even if you did they wouldn't listen to you.   Overall the year was the worst year for turnover and I can see why, If you want to work at a firm make this your last choice. Do not listen to the empty promises they make you.",Consulting
Deloitte,1,Great place to work! Great perks and amazing environment!,"No cons really, though sometimes work hours a little too much.",Consulting
Deloitte,1,Extremely talented people Amazing work environment Great network,Depend on the service line Not very easy to be exposed to a variety of projects,Consulting
Deloitte,NA,it was a good learning experience,too much over time work,Consulting
Deloitte,1,Great place to work and a lot of opportunity for women,Work like balance is challenging,Consulting
